Text_Lem,Sentiments_analyze
"harmlesstree2 maxblumenthal mohammed ejected 2 jewish tribe medina later slaughtered khybar","0,0,1
"
"rayyoosheh 51 christian hindu murdered blasphemy muslim mob pakistan alone israel subject","0,0,0
"
"doammuslims ajwatamr scum bag islamist evacuated christian ezidi civilian home mosul raqqa sinjar","0,0,1
"
"pnibbler alternet maxblumenthal million muslim extremist","0,0,0
"
"greenlinerzjm islam declared war humanity 1400 year ago denying simply lie","0,0,0
"
"number10gov 'm totally sick politically expedient statement every attack islam humanity","0,0,0
"
"scamp_faridxx abualbaraasham islam declared war humanity 1400 year ago talking murderer muslim total hypocrisy","0,0,0
"
"biebervalue greenlinerzjm mohammed people murdered disagreed raped woman married 6 year old beheaded jew","1,1,1
"
"rt joe_nuzz graphic growth radical islam following 6 year care nurture coddling u democrat islamist http //t.co/3yax9wpm���","0,0,0
"
"zamiratwitt contrary brutal bigoted 2 god islam encourages abuse woman http //t.co/afuw9veuu6","0,1,0
"
"kamelnasreldien true ideology vile murderous backwards stupid islam","0,0,0
"
"98halima bilalighumman johnnygjokaj cdnkhadija rfrankh53 isi slavery prophet mohammed slave owner trader","0,0,1
"
"decolonisedsoul islam declared war humanity 1400 year ago 's time recognize respond","0,0,0
"
"roisin_morgan total idiot muslim killing people around globe war every religion earth","0,0,1
"
"rt canine_rights kizzycoy1 exactly europe sharia go zone hide child rapist","0,0,0
"
"dr_jreid iran human freedom murder kurd gay apostate political opponent","1,0,0
"
"girl equivalent irritating asian girl couple year ago well done 7 mkr","0,0,1
"
"sajid_fairooz israeliregime periodically muslim went rampage murdered mass jew happed muslim world","0,0,0
"
"vandaliser sajid_fairooz israeliregime muslim golden age state always slave state","0,0,0
"
"iamthe1teacher preach coexistence want islamist useful idiot","0,0,0
"
"rt riwired `` moderate islam '' islam islam sharia islam difference itsomar99 vileislam basimafaysal http //t.co���","0,0,0
"
"following example pedophile prophet mohammed every detail one isi militant marrying 7 year old child mosul islam","1,0,0
"
"greenlinerzjm attacking everyone follows religious cult hated murder like islam","0,0,0
"
"cherguiambark nebula1979 'm interested sectarian division shia sunni following vile pedophile prophet","0,0,0
"
"aliabdalhamid izrinhariri islam `` innocent soul '' muslim anyone else fair game abuse","0,0,0
"
"hillaryguess riwired izrinhariri atharhkhan turkey egypt used mostly christian muslim mostly exterminated","0,0,0
"
"bdssupporter 1.5 billion muslim idiot size population contribute virtually nothing","0,0,1
"
"maxblumenthal nytopinionator volker_beck blumenthal 's silence muslim jihad humanity 's cost","0,0,0
"
"buellerishere kellyturner99 since islamist erdogan came power woman 's employment turkey fell 30 .he considers baby machine","0,1,0
"
"maxblumenthal arabian peninsula full jew christian decimated muslim max helping finish","0,0,1
"
"rt greg389 islam dominates crime prison amp welfare system amp national security still importing peterdutton_mp amag���","0,0,0
"
"ingyusarms quran writer imagined god egotistical wanting worshiped bowed unsophisticated","0,0,0
"
"love___egypt washingtonpost muslim kill 50 time many innocent non muslim every day n't care","0,0,0
"
"classicdcoy billmaher stupid nothing compare inhumanity barbarity islam","0,0,0
"
"biebervalue greenlinerzjm quran telling men beat wife men superior http //t.co/8xldnwbvzx","0,1,0
"
"rt angelemichelle rt phxken islam contributing one damn thing humanity 1400 year http //t.co/dajgdn1wy3 well except murde���","0,0,0
"
"truaemusic buddha said slavery unacceptable 1100 year slave trader mohammed came along","0,0,0
"
"umarmal rest impoverished like every muslim country n't ocean oil","0,0,1
"
"hnk2therescue atheistranger independent indyvoices n't count vile people practicing vile islam http //t.co/5unzkcyp3i","0,0,0
"
"dankmtl aalwuhaib1977 peacenothate_ asshole israeli defending http //t.co/8cmfoozwxz","0,0,0
"
"politicalant lithobolos zaibatsunews muslim share ideology spelled bigoted 2 imperialist 1","0,0,0
"
"rt nuritbaytch maxblumenthal resents journalist reporting antisemitism bdsers ucla bad press bd mvmt ���","0,0,0
"
"madasahatter_17 buttercupashby another lie `` bad seed '' poll show muslim extremism http //t.co/xihmetalon","0,0,0
"
"aalwuhaib1977 dankmtl peacenothate_ abuse christian stuck living violent muslim endure","0,0,0
"
"rt sudixitca people work hard make world better place others work hard book drink sex party t���","0,0,0
"
"farooqsumar nafeezahmed maxblumenthal jew lived 40 arabian penninsula pedophile prophet started murder","0,0,1
"
"harmlesstree2 pedophile prophet made exceedingly clear intention jew christian http //t.co/gvjcnoh5bm","0,0,0
"
"yuskan0723 filthy palestinian attacked murdered jewish child school past fuck palestinian","0,0,1
"
"batchelorshow edgeofthesandbx feardept ask muslim one killing jew","0,0,1
"
"reza_rahman 's excuse cop every single islamic nation repressive produce either dictator theocrats","0,0,0
"
"discerningmumin talking provocation islam declared war world enough provocation","0,0,0
"
"ibnhlophe eeviewonders ctfleamarkets jew used live 40 arabian penninsula muslim virtually exterminated","0,0,1
"
"98halima johnnygjokaj bilalighumman cdnkhadija rfrankh53 know scum mohammed engraved hatred jew islam","0,0,1
"
"moansar arennie44 furthermore islam demand woman locked home covered stop lying http //t.co/ivd1vihpfa","0,1,0
"
"roisin_morgan islamolunatic live islam sharia trying fulfill mohammed 's wish exterminate jew peninsula","0,0,1
"
"camillehughes16 anthfieg1 _watch_observe_ many time tell muslim extremist http //t.co/n4sk0jfvmf","0,0,0
"
"_d_n_verg_ stevesalaita look ranting lunatic palestinian interesting tell u http //t.co/8cmfoozwxz","0,0,0
"
"ibnhlophe sibanda_tapson ctfleamarkets okay understand religion terrorist n't","0,0,0
"
"sirajzarook bilalighumman odiniainvictus israeliregime jesus n't murder rape rob go war slave like mohammed","0,0,0
"
"kellyturner99 brushyblues buellerishere rapist represent islam 's approved quran hadith microbrain","0,1,0
"
"j_eddine diversityrus bad logic muslim book hatred murder tell would dead","0,0,0
"
"birdstl murdamookez palestine free ruled islamofascists behead gay practice honor killing murder opposition","1,0,0
"
"harmlesstree2 proved true.when one left steal saudi area became broken criminal place","0,0,0
"
"malickbee already found islam vile bigoted hateful murdering 2 slavery supporting cult","0,0,0
"
"teddyboylocsin tweetybird2009 patvpeters isi practice slavery rape mohamed practiced slavery rape","0,0,1
"
"_jihadi_ ansaralummah2 lililllililli democracy mean people get elect leader islam mean ruled freak god","0,0,0
"
"vandaliser sajid_fairooz israeliregime islam religion hatred bigotry http //t.co/spehoyfju1","0,0,0
"
"dankmtl peacenothate_ mohammed stated clearly hadith wanted muslim breed like rat could take world","0,0,1
"
"asem_1994 mohammed slave owner quran allows slavery isi return slavery http //t.co/avpyjtek1z","0,0,1
"
